item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1014,tt0796366,Star Trek,2009,2015,127,PG-13,7.9,561516,1620,539,150000000,257730019,385680446,USA,Paramount,J.J. Abrams,Action,Adventure,Sci-Fi,Chris Pine,Zachary Quinto,Leonard Nimoy,2700,10,10,5000.0,3520000.0,3099.0,399.0
I-1001,tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,2015,140,PG-13,7.5,655343,3385,376,113000000,380270577,850035635,USA,20th Century Fox,George Lucas,Action,Adventure,Fantasy,Ewan McGregor,Natalie Portman,Hayden Christensen,2700,10,10,5500.0,3487000.0,3070.0,370.0
I-1075,tt2660888,Star Trek Beyond,2016,2017,122,PG-13,7.1,214448,789,474,185000000,158848340,343471816,USA,Paramount,Justin Lin,Action,Adventure,Sci-Fi,Chris Pine,Zachary Quinto,Karl Urban,2295,10,1,5000.0,2980000.0,2623.0,328.0
I-1034,tt0770828,Man of Steel,2013,2015,143,PG-13,7.1,658942,2686,752,225000000,291045518,668045518,USA,WB,Zack Snyder,Action,Adventure,Sci-Fi,Henry Cavill,Amy Adams,Michael Shannon,2295,10,1,4500.0,2875500.0,2531.0,236.0
I-1031,tt1345836,The Dark Knight Rises,2012,2015,164,PG-13,8.4,1421494,2878,837,250000000,448139099,1081041287,UK,WB,Christopher Nolan,Action,Adventure,ETC,Christian Bale,Gary Oldman,Tom Hardy,2700,10,10,4500.0,3298500.0,2904.0,204.0
I-1076,tt4196776,Jason Bourne,2016,2017,123,PG-13,6.6,194922,669,396,120000000,162434410,415484914,USA,Universal,Paul Greengrass,Action,Thriller,ETC,Matt Damon,Tommy Lee Jones,Alicia Vikander,2295,10,1,4500.0,2767500.0,2436.0,141.0
I-1072,tt3385516,X-Men: Apocalypse,2016,2017,144,PG-13,6.9,369014,812,480,178000000,155442489,543934105,USA,Fox,Bryan Singer,Action,Adventure,Sci-Fi,James McAvoy,Michael Fassbender,Jennifer Lawrence,2195,6,1,4500.0,2583000.0,2274.0,79.0
I-1074,tt2709768,The Secret Life of Pets,2016,2017,87,PG,6.5,170212,315,288,75000000,368384330,875457937,Jap,Universal,Chris Renaud,Animation,Adventure,Comedy,Louis C.K.,Eric Stonestreet,Kevin Hart,2295,10,1,4500.0,2637000.0,2321.0,26.0
I-1005,tt0413300,Spider-Man 3,2007,2015,139,PG-13,6.2,471773,2011,413,258000000,336530303,890871626,USA,Sony Pictures/Columbia,Sam Raimi,Action,Adventure,Sci-Fi,Tobey Maguire,Kirsten Dunst,James Franco,2295,10,1,4000.0,2564000.0,2257.0,-38.0
I-1018,tt0417741,Harry Potter and the Half-Blood Prince,2009,2015,153,PG,7.6,430646,1022,394,250000000,302305431,934326396,UK,WB,David Yates,Action,Adventure,Family,Daniel Radcliffe,Michael Gambon,Dave Legeno,2700,10,10,4500.0,3006000.0,2646.0,-54.0
I-1040,tt1170358,The Hobbit: The Desolation of Smaug,2013,2015,161,PG-13,7.8,574091,979,526,225000000,258366855,958366855,USA,WB (NL),Peter Jackson,Adventure,Fantasy,ETC,Ian McKellen,Martin Freeman,Richard Armitage,2600,6,10,4500.0,2776500.0,2444.0,-156.0
I-1032,tt1074638,Skyfall,2012,2015,143,PG-13,7.7,600350,1549,726,200000000,304360277,1108561013,UK,Sony Pictures/Columbia,Sam Mendes,Action,Adventure,Thriller,Daniel Craig,Judi Dench,Javier Bardem,2700,10,10,4000.0,2548000.0,2243.0,-457.0
I-1043,tt1951265,The Hunger Games: Mockingjay - Part 1,2014,2015,123,PG-13,6.6,387546,594,427,125000000,337135885,755356711,USA,LIONSGATE,Francis Lawrence,Action,Adventure,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2195,6,1,1200.0,1705200.0,1501.0,-694.0
I-1028,tt1399103,Transformers: Dark of the Moon,2011,2015,154,PG-13,6.2,371113,916,433,195000000,352390543,1123794079,USA,P/DW,Michael Bay,Action,Adventure,Sci-Fi,Shia LaBeouf,Rosie Huntington-Whiteley,Josh Duhamel,2145,4,1,5000.0,1345000.0,1184.0,-961.0
I-1023,tt0435761,Toy Story 3,2010,2015,103,G,8.3,707349,825,474,200000000,415004880,1066969703,USA,BUENA VISTA,Lee Unkrich,Animation,Adventure,Comedy,Tom Hanks,Tim Allen,Joan Cusack,2700,10,10,7200.0,1936800.0,1705.0,-995.0
I-1004,tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,2015,151,PG-13,7.3,623360,1867,320,225000000,423315812,1066179725,USA,BUENA VISTA,Gore Verbinski,Action,Adventure,Fantasy,Johnny Depp,Orlando Bloom,Keira Knightley,2295,10,1,5500.0,1474000.0,1298.0,-997.0
I-1027,tt1411697,The Hangover Part II,2011,2015,102,R,6.4,440867,406,386,80000000,254464305,586764305,USA,WB,Todd Phillips,Comedy,ETC,ETC,Bradley Cooper,Ed Helms,Zach Galifianakis,2295,10,1,4500.0,1377000.0,1212.0,-1083.0
I-1024,tt1325004,The Twilight Saga: Eclipse,2010,2015,124,PG-13,5.0,215554,509,285,68000000,300531751,698491347,USA,Sum.,David Slade,Adventure,Drama,Fantasy,Xavier Samuel,Kristen Stewart,Robert Pattinson,2145,4,1,4000.0,1116000.0,982.0,-1163.0
I-1030,tt0948470,The Amazing Spider-Man,2012,2015,136,PG-13,6.9,535264,1313,625,230000000,262030663,757930663,USA,Sony Pictures/Columbia,Marc Webb,Action,Adventure,Sci-Fi,Andrew Garfield,Emma Stone,Rhys Ifans,2295,10,1,4000.0,1068000.0,940.0,-1355.0
